WORD ENTROPY DISPERSION STD CONCRETENESS
burial N/A N/A N/A 3.93
series N/A N/A N/A 2.92
spider N/A N/A N/A 4.97
sled N/A N/A N/A 5
turnip 242.169427718 0.193264202411 0.8902 4.79
navy N/A N/A N/A 3.93
cathedral N/A N/A N/A 4.86
dawn N/A N/A N/A 4.46
whip N/A N/A N/A 4.68
network N/A N/A N/A 3.2
god N/A N/A N/A 2.07
motel 227.511495802 0.174661162371 0.76308 4.93
crucial N/A N/A N/A 2.08
encourage N/A N/A N/A 2.61
safety N/A N/A N/A 2.37
reader N/A N/A N/A 3.89
perception N/A N/A N/A 2
written N/A N/A N/A 4.04
hang N/A N/A N/A 3.7
management N/A N/A N/A 2.72
grapes N/A N/A N/A N/A
aisle 177.98493293 0.155363738408 0.8012 4.35
shelves N/A N/A N/A N/A
inexpensive N/A N/A N/A 2.22
raisin 223.428559485 0.188279246422 0.88589 4.97
musicians N/A N/A N/A N/A
industrial N/A N/A N/A 3
grade N/A N/A N/A 3
wasp 210.93451649 0.169296903924 0.85082 4.96
hook N/A N/A N/A 4.79
chopper 252.632583683 0.184333227498 0.85327 4.07
scissors N/A N/A N/A 4.85
basketball 216.495232173 0.176165743844 0.87644 4.97
lego N/A N/A N/A 4.73
top N/A N/A N/A 3.93
engagement N/A N/A N/A 2.75
girls N/A N/A N/A N/A
elevator 245.006674314 0.18478549388 0.90375 4.79
fiction N/A N/A N/A 2.14
toe N/A N/A N/A 4.93
curtains N/A N/A N/A N/A
ceiling N/A N/A N/A 4.85
murder N/A N/A N/A 3.61
bacon N/A N/A N/A 4.9
tool N/A N/A N/A 4.6
wisdom N/A N/A N/A 1.53
cereal N/A N/A N/A 4.83
postcards N/A N/A N/A N/A
anxiety N/A N/A N/A 2.21
target N/A N/A N/A 4.11
hike N/A N/A N/A 4.14
tree N/A N/A N/A 5
rusty N/A N/A N/A 3.9
preparation N/A N/A N/A 2.18
street N/A N/A N/A 4.75
flame N/A N/A N/A 4.67
iron N/A N/A N/A 4.59
bridge N/A N/A N/A 4.97
donkey 269.327805806 0.188552252627 0.88269 5
fashion N/A N/A N/A 3.43
microscope 242.873984618 0.184216073177 0.81341 5
palace 181.145356732 0.159706330333 0.73884 4.57
rattle N/A N/A N/A 4.07
modern N/A N/A N/A 2.31
mind N/A N/A N/A 2.5
pigs N/A N/A N/A N/A
rat N/A N/A N/A 4.85
seed N/A N/A N/A 4.71
manner N/A N/A N/A 1.62
screws N/A N/A N/A N/A
seem N/A N/A N/A 1.75
spade N/A N/A N/A 4.46
ray N/A N/A N/A 3.57
strength N/A N/A N/A 2.96
escalator N/A N/A N/A 5
laden N/A N/A N/A 2.96
snow N/A N/A N/A 4.85
elegance N/A N/A N/A 2.18
chest 172.973151351 0.157671215603 0.77986 4.93
chess N/A N/A N/A 4.7
rodents 242.089632354 0.183935040447 0.94204 N/A
paintbrush 298.370347962 0.204734146934 0.96037 4.79
blue N/A N/A N/A 3.76
object N/A N/A N/A 3.66
memorabilia N/A N/A N/A 4.15
anatomy N/A N/A N/A 3.59
mouth N/A N/A N/A 4.74
plenty N/A N/A N/A 2.39
drought N/A N/A N/A 3.74
grave N/A N/A N/A 4.56
morality N/A N/A N/A 1.47
singer N/A N/A N/A 4.62
observation N/A N/A N/A 2.12
professor N/A N/A N/A 4.86
camp N/A N/A N/A 4.35
metal N/A N/A N/A 4.87
dog N/A N/A N/A 4.85
swamp N/A N/A N/A 4.96
aunt 232.373736509 0.189196456385 0.74045 4.17
pineapple 212.983158329 0.178681179103 0.88776 4.94
consumer N/A N/A N/A 3.57
crowbar 243.701524177 0.186047597078 0.85345 4.87
bomb N/A N/A N/A 4.84
insects N/A N/A N/A N/A
queen N/A N/A N/A 4.45
housefly 211.326301133 0.161070815261 0.89051 4.96
chandelier 275.04013396 0.199823772233 0.9239 4.79
radio N/A N/A N/A 4.74
participate N/A N/A N/A 2.59
nephew 235.699412998 0.190038243622 0.8195 4.48
menu N/A N/A N/A 4.67
explain N/A N/A N/A 1.97
sugar N/A N/A N/A 4.87
celery 258.127121459 0.193277619573 0.88331 4.8
cougar 228.65293017 0.172271341405 0.84862 4.82
bush N/A N/A N/A 4.9
announce N/A N/A N/A 3.31
rice N/A N/A N/A 4.86
plate N/A N/A N/A 4.77
tiles N/A N/A N/A N/A
sunglasses 224.808303483 0.17936784779 0.91838 4.83
colorful N/A N/A N/A 3.78
hostility N/A N/A N/A 2.24
stop N/A N/A N/A 3.68
coast N/A N/A N/A 4.21
wedding N/A N/A N/A 3.92
report N/A N/A N/A 3.92
beads N/A N/A N/A N/A
jaguar 151.3552174 0.128926451757 0.74961 4.9
licking N/A N/A N/A 3.93
bay N/A N/A N/A 4.81
emu 233.627884567 0.174097557884 0.90608 4.79
bag N/A N/A N/A 4.9
bad N/A N/A N/A 1.68
architecture N/A N/A N/A 3.59
steak N/A N/A N/A 4.96
ruins N/A N/A N/A N/A
secretary 215.83611876 0.177396519446 0.85611 4.54
disaster N/A N/A N/A 3.07
imitate N/A N/A N/A 2.66
liquor N/A N/A N/A 4.73
cattle 265.474008398 0.190917614251 0.9182 4.64
fail N/A N/A N/A 3
noodles N/A N/A N/A 4.96
hammer N/A N/A N/A 4.77
brazil 216.886874669 0.187861804988 0.90152 4.19
voyage N/A N/A N/A 3.43
feline N/A N/A N/A 4.38
gentleman N/A N/A N/A 3.57
mud N/A N/A N/A 4.86
mug N/A N/A N/A 4.8
finger N/A N/A N/A 5
pets N/A N/A N/A N/A
drawn N/A N/A N/A 2.79
approach N/A N/A N/A 2.74
side N/A N/A N/A 3.68
